data,m2
2010/12/27,2415.75
2010/12/28,2438.25
2010/12/29,2477.25
2010/12/30,3449.25
2010/12/31,3459
2011/1/1,3406.875
2011/1/2,3403.5
2011/1/3,3396.75
2011/1/4,3385.5
2011/1/5,3498
2011/1/6,3503
2011/1/7,3480.75
2011/1/8,3321.375
2011/1/9,3320.25
2011/1/10,3220.875
2011/1/11,3280.5
2011/1/12,3194.625
2011/1/13,3182.625
2011/1/14,3252
2011/1/15,3604.125
2011/1/16,3231
2011/1/17,3233.25
2011/1/18,3218.375
2011/1/19,3153.75
2011/1/20,3205.125
2011/1/21,3197.625
2011/1/22,3256.125
2011/1/23,3250.125
2011/1/24,3234.75
2011/1/25,3334.875
2011/1/26,3348
2011/1/27,3376.875
2011/1/28,3414.75
2011/1/29,3414
2011/1/30,3413.625
2011/1/31,3496.125
2011/2/1,3461.25
2011/2/2,3469.125
2011/2/3,3483.375
2011/2/4,3502.125
2011/2/5,3462.75
2011/2/6,3540
2011/2/7,3539.25
2011/2/8,3532.875
2011/2/9,3478.625
2011/2/10,3500.25
2011/2/11,3503.25
2011/2/12,3520.5
2011/2/13,3523.875
2011/2/14,3357
2011/2/15,3271.125
2011/2/16,3651.375
2011/2/17,3773.625
2011/2/18,3760.125
2011/2/19,3753
2011/2/20,3863.25
2011/2/21,3842.25
2011/2/22,3825.75
2011/2/23,3836.625
2011/2/24,3797.625
2011/2/25,3618
2011/2/26,3651.75
2011/2/27,3809.25
2011/2/28,3881.25
2011/3/1,3871.125
2011/3/2,3882.375
2011/3/3,3871.5
2011/3/4,3871.125
2011/3/5,3859.875
2011/3/6,3944.25
2011/3/7,4190.25
2011/3/8,4248.375
2011/3/9,4302.375
2011/3/10,4218.375
2011/3/11,4012.125
2011/3/12,4043.625
2011/3/13,3976.625
2011/3/14,3983.25
2011/3/15,3983.75
2011/3/16,4148.25
2011/3/17,4150.5
2011/3/18,4125.75
2011/3/19,4144.125
2011/3/20,4153.875
2011/3/21,4139.25
2011/3/22,4092
2011/3/23,4069.5
2011/3/24,3902.625
2011/3/25,3907.125
2011/3/26,3955.125
2011/3/27,3844.5
2011/3/28,3850.125
2011/3/29,3757.875
2011/3/30,3755.25
2011/3/31,3737.75
2011/4/1,3740.25
2011/4/2,3758.25
2011/4/3,3756.75
2011/4/4,3777.75
2011/4/5,3771.125
2011/4/6,3785.625
2011/4/7,3966.375
2011/4/8,3969.125
2011/4/9,4002.75
2011/4/10,4008
2011/4/11,3928.125
2011/4/12,3740.375
2011/4/13,3680.625
2011/4/14,3662.625
2011/4/15,3705.75
2011/4/16,3761.25
2011/4/17,3744.625
2011/4/18,3750.375
2011/4/19,3684.375
2011/4/20,3730.5
2011/4/21,3695.25
2011/4/22,3648.75
2011/4/23,3661.5
2011/4/24,3663
2011/4/25,3658.875
2011/4/26,3667.125
2011/4/27,3574.125
2011/4/28,3720.75
2011/4/29,3544.875
2011/4/30,4036.125
2011/5/1,4028.25
2011/5/2,3927.75
2011/5/3,3882.375
2011/5/4,3891.375
2011/5/5,3855.375
2011/5/6,3830.375
2011/5/7,3740.625
2011/5/8,3581.25
2011/5/9,3545.625
2011/5/10,3394.125
2011/5/11,3378.375
2011/5/12,3316.125
2011/5/13,3303.375
2011/5/14,3424.125
2011/5/15,3405.75
2011/5/16,3570.375
2011/5/17,3603.375
2011/5/18,3750
2011/5/19,3810
2011/5/20,3532.875
2011/5/21,3482.25
2011/5/22,3487.5
2011/5/23,3421.5
2011/5/24,3383.625
2011/5/25,3407.25
2011/5/26,3365.25
2011/5/27,3458.25
2011/5/28,3549
2011/5/29,3547.125
2011/5/30,3581.25
2011/5/31,3468.75
2011/6/1,3461.25
2011/6/2,3624.375
2011/6/3,3610.875
2011/6/4,3525
2011/6/5,3485.25
2011/6/6,3420.75
2011/6/7,3384.75
2011/6/8,3395.25
2011/6/9,3409.5
2011/6/10,3378
2011/6/11,3181.5
2011/6/12,3171.375
2011/6/13,3229.5
2011/6/14,3108.75
2011/6/15,3124.875
2011/6/16,3159.75
2011/6/17,3118.125
2011/6/18,3080.25
2011/6/19,3053.25
2011/6/20,3060.75
2011/6/21,3014.25
2011/6/22,3007.875
2011/6/23,3106.875
2011/6/24,3085.5
2011/6/25,3601.5
2011/6/26,3558
2011/6/27,3903.75
2011/6/28,4143.75
2011/6/29,4039.5
2011/6/30,3976.5
2011/7/1,3904.5
2011/7/2,3763.875
2011/7/3,3281.625
2011/7/4,3662.25
2011/7/5,3721.125
2011/7/6,3720
2011/7/7,3736.125
2011/7/8,3639.375
2011/7/9,3708.375
2011/7/10,3780
2011/7/11,3593.25
2011/7/12,3594.75
2011/7/13,3609.375
2011/7/14,3489.75
2011/7/15,3507
2011/7/16,3391.5
2011/7/17,3305.25
2011/7/18,3471.75
2011/7/19,3422.625
2011/7/20,3469.5
2011/7/21,3460.125
2011/7/22,3466.125
2011/7/23,3498.75
2011/7/24,3525
2011/7/25,3510
2011/7/26,3657
2011/7/27,3693
2011/7/28,3669
2011/7/29,3651.75
2011/7/30,3614.625
2011/7/31,3575.625
2011/8/1,3544.875
2011/8/2,3510.75
2011/8/3,3455.625
2011/8/4,3468.375
2011/8/5,3521.25
2011/8/6,3487.5
2011/8/7,3521.625
2011/8/8,3521.25
2011/8/9,3552.75
2011/8/10,3503.25
2011/8/11,3507.375
2011/8/12,3500.625
2011/8/13,3482.25
2011/8/14,3504
2011/8/15,3445.875
2011/8/16,3504.375
2011/8/17,3530.25
2011/8/18,3406.5
2011/8/19,3479.25
2011/8/20,3479.25
2011/8/21,3480.375
2011/8/22,3449.25
2011/8/23,3461.625
2011/8/24,3492.75
2011/8/25,3545.25
2011/8/26,3457.125
2011/8/27,3423.75
2011/8/28,3397.5
2011/8/29,3338.625
2011/8/30,3263.25
2011/8/31,3249.375
2011/9/1,3243
2011/9/2,3255
2011/9/3,3259.125
2011/9/4,3277.5
2011/9/5,3278.25
2011/9/6,3283.875
2011/9/7,3441.375
2011/9/8,3433.125
2011/9/9,3439.875
2011/9/10,3390.75
2011/9/11,3384.75
2011/9/12,3384.75
2011/9/13,3163.125
2011/9/14,3186.375
2011/9/15,3239.625
2011/9/16,3239.625
2011/9/17,3150
2011/9/18,2949.75
2011/9/19,3154.875
2011/9/20,3043.125
2011/9/21,3065.625
2011/9/22,3191.625
2011/9/23,3225.375
2011/9/24,3172.875
2011/9/25,3123.375
